mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
22	21	241/4	241/4	0.0	0	0	Spanner	3/4	2	1	0															2
22	21	241/4	241/4	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	165											2
22	21	245/4	245/4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	166											2
22	21	249/4	249/4	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	167											2
22	21	241/4	241/4	0.0	0	0	Dynamic	3/4	3	1	0						p									
22	21	241/4	241/4	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	168											
22	21	245/4	245/4	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	169											
22	21	249/4	249/4	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	170											
23	22	253/4	253/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	171	graut										
23	22	253/4	253/4	0.0	0	0	Spanner	3/4	2	1	0															
23	22	253/4	253/4	0.0	0	0	Spanner	3/4	2	1	0														2	
23	22	253/4	253/4	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	172									29	2	
23	22	253/4	253/4	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	173										2	
23	22	261/4	261/4	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	174										2	
23	22	253/4	253/4	0.0	0	0	Dynamic	3/4	3	1	0						fz									
23	22	253/4	253/4	1.75	0	0	Chord	3/4	3	1	7/16		1/4	7/4	175									30		
23	22	65	65	0.25	7/16	7/16	Chord	3/4	3	1	1/16		1/16	1	176									30		
23	22	261/4	261/4	0.0	1/2	1/2	Dynamic	3/4	3	1	0						p							30		
23	22	261/4	261/4	0.75	1/2	1/2	Chord	3/4	3	1	3/16		1/8	3/2	177									30		
23	22	66	66	0.25	11/16	11/16	Chord	3/4	3	1	1/16		1/16	1	178									30		
24	23	265/4	265/4	0.0	0	0	Spanner	3/4	2	1	0															
24	23	265/4	265/4	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	179											
24	23	265/4	265/4	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	180											
25	24	287/4	287/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	181	wie										
25	24	279/4	279/4	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	182									31		
25	24	281/4	281/4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	183									31		
25	24	283/4	283/4	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	184									31		
25	24	285/4	285/4	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	185									31		
25	24	287/4	287/4	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	186											
25	24	279/4	279/4	0.0	1/8	1/8	Dynamic	3/4	3	1	0						p									
25	24	279/4	279/4	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	187									32		
25	24	281/4	281/4	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	188									32		
25	24	283/4	283/4	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	189									32		
25	24	285/4	285/4	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	190									32		
25	24	287/4	287/4	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	191											
26	25	289/4	289/4	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	192	weit										
26	25	295/4	295/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	193	noch										
26	25	297/4	297/4	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	194	bis										
26	25	75	75	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	195	zur										
26	25	289/4	289/4	0.0	0	0	Chord	3/4	2	1	0	grace32	1/32	1	196											
26	25	289/4	289/4	0.0	0	0	Chord	3/4	2	1	0	grace32	1/32	1	197											
26	25	289/4	289/4	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	198			articAccentAbove						33		
26	25	295/4	295/4	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	199									33		
26	25	297/4	297/4	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	200									33		
26	25	75	75	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	201									33		
26	25	289/4	289/4	0.0	0	0	Chord	3/4	3	1	0	grace32	1/32	1	202											
26	25	289/4	289/4	0.0	0	0	Chord	3/4	3	1	0	grace32	1/32	1	203											
26	25	289/4	289/4	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	204			articAccentBelow						34		
26	25	295/4	295/4	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	205									34		
26	25	297/4	297/4	0.75	1/2	1/2	Chord	3/4	3	1	3/16		1/8	3/2	206									34		
26	25	75	75	0.25	11/16	11/16	Chord	3/4	3	1	1/16		1/16	1	207									34		
27	26	301/4	301/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	208	Bah-										
27	26	303/4	303/4	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	209	-re!										
